Unnamed: 0,Reaction ID,Reaction: Links to Reaxys,Data Count,Number of Reaction Details,Reaction Rank,Record Type,Reactant,Product,Bin,Reaction,Reaction Details: Reaction Classification,Example label,Example title,Fulltext of reaction,Number of Reaction Steps,Multi-step Scheme,Multi-step Details,Number of Stages,Solid Phase,Time (Reaction Details) [h],Temperature (Reaction Details) [C],Pressure (Reaction Details) [Torr],pH-Value (Reaction Details),Other Conditions,Reaction Type,Subject Studied,Prototype Reaction,Named Reaction,Type of reaction description (Reaction Details),Location,Comment (Reaction Details),Product.1,Yield,Yield (numerical),Yield (optical),Stage Reactant,Reagent,Catalyst,Solvent (Reaction Details),References,Links to Reaxys,Yield combined,Reagents as SMILES,Reagents Not Converted,Reactants.Reagents>>Products,Reactants,Products,Reactants + Reagents
37886648;,37886648.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=41379396&database=RX&origin=ReaxysOutput&ln=,(573 of 2770),1,75,full reaction; has preparation,"3-methyl-1H-[1,2,4]triazole; 1-(4-benzoylpiperazin-1-yl)-2-(7-bromo-4-methoxy-1H-pyrrolo[2,3-c]pyridin-3-yl)ethane-1,2-dione",C24H23N7O4(1-)*Li(1+),283882,CC1=NNC=N1.COC1=C2C(=CNC2=C(Br)N=C1)C(=O)C(=O)N1CCN(CC1)C(=O)C1=CC=CC=C1>>[Li+].COC1=C2C(=CNC2=C(N=C1)N1C=NC(C)=N1)C(=O)C(=O)N1CCN(CC1)C(=O)C1=CC=CC=C1,Preparation,None,None,None,1,None,None,3.0,None,20; 1; 13,80; 50; 50,None,None,Inert atmosphere; Industrial scale; Inert atmosphere; Industrial scale; Industrial scale,Ullmann Condensation,None,Reagent/catalyst,None,Experimental part,None,None,C24H23N7O4(1-)*Li(1+),72 percent,72,None,"3-methyl-1H-[1,2,4]triazole; 1-(4-benzoylpiperazin-1-yl)-2-(7-bromo-4-methoxy-1H-pyrrolo[2,3-c]pyridin-3-yl)ethane-1,2-dione","copper(l) iodide; cis-N,N'-dimethyl-1,2-diaminocyclohexane; potassium hydroxide; ammonium tetramethylenedithiocarbamate; lithium iodide monohydrate",None,ethanol; water; ethanol; water; ethanol; water; acetonitrile,"Article; Gallagher, William P.; Vo, Anh; Organic Process Research and Development; vol. 19; 10; (2015); p. 1369 - 1373;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=67369582&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,72 percent72None,[Cu]I.CN[C@@H]1CCCC[C@@H]1NC.[OH-].[K+].N.SC(=S)N1CCCC1.[Li+].O.[I-],,CC1=NNC=N1.COC1=C2C(=CNC2=C(Br)N=C1)C(=O)C(=O)N1CCN(CC1)C(=O)C1=CC=CC=C1.[Cu]I.CN[C@@H]1CCCC[C@@H]1NC.[OH-].[K+].N.SC(=S)N1CCCC1.[Li+].O.[I-]>>[Li+].COC1=C2C(=CNC2=C(N=C1)N1C=NC(C)=N1)C(=O)C(=O)N1CCN(CC1)C(=O)C1=CC=CC=C1,CC1=NNC=N1.COC1=C2C(=CNC2=C(Br)N=C1)C(=O)C(=O)N1CCN(CC1)C(=O)C1=CC=CC=C1,[Li+].COC1=C2C(=CNC2=C(N=C1)N1C=NC(C)=N1)C(=O)C(=O)N1CCN(CC1)C(=O)C1=CC=CC=C1,CC1=NNC=N1.COC1=C2C(=CNC2=C(Br)N=C1)C(=O)C(=O)N1CCN(CC1)C(=O)C1=CC=CC=C1.[Cu]I.CN[C@@H]1CCCC[C@@H]1NC.[OH-].[K+].N.SC(=S)N1CCCC1.[Li+].O.[I-]
33825189;,33825189.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=31950468&database=RX&origin=ReaxysOutput&ln=,(574 of 4030),1,79,full reaction; has preparation,"4,4,6-trimethyl-2-(2-(trifluoromethyl)phenyl)-1,3,2-dioxaborinane; 4-bromo-2-nitrotoluene","4'-methyl-3'-nitro-2-(trifluoromethyl)-1,1'-biphenyl",293640,CC1CC(C)(C)OB(O1)C1=C(C=CC=C1)C(F)(F)F.CC1=CC=C(Br)C=C1N(=O)=O>>CC1=C(C=C(C=C1)C1=C(C=CC=C1)C(F)(F)F)N(=O)=O,Preparation,None,None,None,1,None,None,None,None,3,100,None,None,Inert atmosphere,Suzuki-Miyaura coupling,None,None,None,None,experimental part,None,"4'-methyl-3'-nitro-2-(trifluoromethyl)-1,1'-biphenyl",80 percent,80,None,None,"dicyclohexyl-(2',6'-dimethoxybiphenyl-2-yl)-phosphane; potassium phosphate; palladium diacetate",None,water; toluene,"Article; Demory, Emilien; Blandin, Veronique; Einhorn, Jacques; Chavant, Pierre Y.; Organic process research and development; vol. 15; 3; (2011); p. 710 - 716;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=20041736&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,80 percent80None,COc1cccc(OC)c1c2ccccc2P(C3CCCCC3)C4CCCCC4.[K+].[O-][P]([O-])([O-])=O.[Pd++].CC([O-])=O.CC([O-])=O,,CC1CC(C)(C)OB(O1)C1=C(C=CC=C1)C(F)(F)F.CC1=CC=C(Br)C=C1N(=O)=O.COc1cccc(OC)c1c2ccccc2P(C3CCCCC3)C4CCCCC4.[K+].[O-][P]([O-])([O-])=O.[Pd++].CC([O-])=O.CC([O-])=O>>CC1=C(C=C(C=C1)C1=C(C=CC=C1)C(F)(F)F)N(=O)=O,CC1CC(C)(C)OB(O1)C1=C(C=CC=C1)C(F)(F)F.CC1=CC=C(Br)C=C1N(=O)=O,CC1=C(C=C(C=C1)C1=C(C=CC=C1)C(F)(F)F)N(=O)=O,CC1CC(C)(C)OB(O1)C1=C(C=CC=C1)C(F)(F)F.CC1=CC=C(Br)C=C1N(=O)=O.COc1cccc(OC)c1c2ccccc2P(C3CCCCC3)C4CCCCC4.[K+].[O-][P]([O-])([O-])=O.[Pd++].CC([O-])=O.CC([O-])=O
46426598;,46426598.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=37919942&database=RX&origin=ReaxysOutput&ln=,(884 of 5000),3,79,full reaction; has preparation,1-(2-Hydroxy-phenyl)-propan-1-on; Methyltriphenylphosphonium bromide,alpha-ethyl o-hydroxystyrene,303692,CCC(=O)C1=CC=CC=C1O.[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1>>CCC(=C)C1=C(O)C=CC=C1,Preparation,None,None,None,1,None,None,2.0,None,1; 72,0; 0 - 20,None,None,Inert atmosphere; Inert atmosphere,Wittig Olefination,None,None,None,Experimental part,supporting information,None,alpha-ethyl o-hydroxystyrene,51 percent,51,None,Methyltriphenylphosphonium bromide; 1-(2-Hydroxy-phenyl)-propan-1-on,sodium hydride,None,tetrahydrofuran; tetrahydrofuran,"Article; Gulias, Moises; Marcos-Atanes, Daniel; Mascarenas, Jose L.; Font, Marc; Organic Process Research and Development; vol. 23; 8; (2019); p. 1669 - 1673;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=77632230&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,51 percent51None,[H-].[Na+],,CCC(=O)C1=CC=CC=C1O.[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.[H-].[Na+]>>CCC(=C)C1=C(O)C=CC=C1,CCC(=O)C1=CC=CC=C1O.[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,CCC(=C)C1=C(O)C=CC=C1,CCC(=O)C1=CC=CC=C1O.[Br-].C[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.[H-].[Na+]
41751004;,41751004.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=43528804&database=RX&origin=ReaxysOutput&ln=,(1225 of 4759),1,70,full reaction; has preparation,"N-(3-methoxyphenyl)propionamide; N,N-dimethyl-formamide",2-chloro-7-methoxy-3-methylquinoline; 2-chloro-5-methoxy-3-methylquinoline,157476; 157476,CCC(=O)NC1=CC(OC)=CC=C1.CN(C)C=O>>COC1=CC=C2C=C(C)C(Cl)=NC2=C1.COC1=CC=CC2=C1C=C(C)C(Cl)=N2,Preparation,None,None,None,1,None,None,2.0,None,0.333333; 10.3333,0 - 20; 0 - 80,None,None,Large scale; Large scale,Vilsmeier Reaction,None,Temperature,None,Experimental part,None,regioselective reaction,2-chloro-7-methoxy-3-methylquinoline,84 percent,84,None,"N,N-dimethyl-formamide; N-(3-methoxyphenyl)propionamide",trichlorophosphate,None,None,"Article; Chen, Xiao-Wen; Liu, Yu; Jin, Xun-Qi; Sun, Yuan-Yuan; Gu, Shun-Lin; Fu, Lei; Li, Jian-Qi; Organic Process Research and Development; vol. 20; 9; (2016); p. 1662 - 1667;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=69593797&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,84 percent84None,Cl[P](Cl)(Cl)=O,,CCC(=O)NC1=CC(OC)=CC=C1.CN(C)C=O.Cl[P](Cl)(Cl)=O>>COC1=CC=C2C=C(C)C(Cl)=NC2=C1.COC1=CC=CC2=C1C=C(C)C(Cl)=N2,CCC(=O)NC1=CC(OC)=CC=C1.CN(C)C=O,COC1=CC=C2C=C(C)C(Cl)=NC2=C1.COC1=CC=CC2=C1C=C(C)C(Cl)=N2,CCC(=O)NC1=CC(OC)=CC=C1.CN(C)C=O.Cl[P](Cl)(Cl)=O
43412988;,43412988.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=32207409&database=RX&origin=ReaxysOutput&ln=,(614 of 4030),1,78,full reaction; has preparation,(2'R)-2-cyano-2-(2'-methylpentyl)succinic acid diethyl ester,(5R)-3-cyano-5-methyloctanoic acid ethyl ester,None,CCC[C@@H](C)CC(C#N)(C(=O)OCC)C(=O)OCC>>CCC[C@@H](C)CC(CC(=O)OCC)C#N,Preparation,None,None,None,1,None,None,None,None,24,135 - 138,None,None,Inert atmosphere,Krapcho decarboalkoxylation,None,None,None,None,experimental part,None,(5R)-3-cyano-5-methyloctanoic acid ethyl ester,85 percent,85,None,None,water; lithium chloride,None,dimethyl sulfoxide,"Article; Murtagh, Lorraine; Dunne, Catherine; Gabellone, Gino; Panesar, Niamh J.; Field, Stuart; Reeder, Lisa M.; Saenz, James; Smith, George P.; Kissick, Kyle; Martinez, Carlos; Van Alsten, John G.; Evans, Margaret C.; Franklin, Lloyd C.; Nanninga, Thomas; Wong, John; Organic Process Research and Development; vol. 15; 6; (2011); p. 1315 - 1327;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=20057428&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,85 percent85None,O.[Li+].[Cl-],,CCC[C@@H](C)CC(C#N)(C(=O)OCC)C(=O)OCC.O.[Li+].[Cl-]>>CCC[C@@H](C)CC(CC(=O)OCC)C#N,CCC[C@@H](C)CC(C#N)(C(=O)OCC)C(=O)OCC,CCC[C@@H](C)CC(CC(=O)OCC)C#N,CCC[C@@H](C)CC(C#N)(C(=O)OCC)C(=O)OCC.O.[Li+].[Cl-]
37838153;,37838153.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=35176619&database=RX&origin=ReaxysOutput&ln=,(148 of 2710),2,94,full reaction; has preparation,1-bromo-2-ethylbenzene; acrylic acid methyl ester,(E)-3-(2-ethylphenyl)acrylic acid methyl ester,295997,CCC1=C(Br)C=CC=C1.COC(=O)C=C>>CCC1=CC=CC=C1\C=C\C(=O)OC,Preparation,None,None,None,1,None,None,None,None,24,80,None,None,Glovebox,Heck Reaction,None,None,None,Experimental part,None,None,(E)-3-(2-ethylphenyl)acrylic acid methyl ester,88 percent,88,None,None,"dichloro[1,1'-bis(di-t-butylphosphino)ferrocene]palladium(II); N-Methyldicyclohexylamine; 4,4'-di-tert-butylbiphenyl; tetrabutyl-ammonium chloride",None,"N,N-dimethyl acetamide","Article; Murray, Paul M.; Bower, John F; Cox, David K; Galbraith, Ewan K; Parker, Jeremy S; Sweeney, Joseph B.; Organic Process Research and Development; vol. 17; 3; (2013); p. 397 - 405;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=35475896&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,88 percent88None,CN(C1CCCCC1)C2CCCCC2.CC(C)(C)c1ccc(cc1)c2ccc(cc2)C(C)(C)C.[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,"dichloro[1,1'-bis(di-t-butylphosphino)ferrocene]palladium(II)",CCC1=C(Br)C=CC=C1.COC(=O)C=C.CN(C1CCCCC1)C2CCCCC2.CC(C)(C)c1ccc(cc1)c2ccc(cc2)C(C)(C)C.[Cl-].CCCC[N+](CCCC)(CCCC)CCCC>>CCC1=CC=CC=C1\C=C\C(=O)OC,CCC1=C(Br)C=CC=C1.COC(=O)C=C,CCC1=CC=CC=C1\C=C\C(=O)OC,CCC1=C(Br)C=CC=C1.COC(=O)C=C.CN(C1CCCCC1)C2CCCCC2.CC(C)(C)c1ccc(cc1)c2ccc(cc2)C(C)(C)C.[Cl-].CCCC[N+](CCCC)(CCCC)CCCC
33141395;,33141395.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=37852188&database=RX&origin=ReaxysOutput&ln=,(639 of 5000),1,78,full reaction; has preparation,C25H38N2O3,"(R)-6-cyclopentyl-6-(2-(2,6-diethylpyridin-4-yl)ethyl)-dihydro-2H-pyran-2,4(3H)-dione",165164,CCC1=CC(CC[C@](CC(=O)N2CCCC2)(OC(C)=O)C2CCCC2)=CC(CC)=N1>>CCC1=CC(CC[C@@]2(CC(O)=CC(=O)O2)C2CCCC2)=CC(CC)=N1,Preparation,None,None,None,1,None,None,None,None,2.5,-15 - 5,None,None,None,Dieckmann Condensation,None,None,None,Experimental part,supporting information,None,"(R)-6-cyclopentyl-6-(2-(2,6-diethylpyridin-4-yl)ethyl)-dihydro-2H-pyran-2,4(3H)-dione",87.5 percent,87.5,None,None,lithium hexamethyldisilazane,None,tetrahydrofuran; toluene,"Article; Peng, Zhihui; Ragan, John A.; Colon-Cruz, Roberto; Conway, Brian G.; Cordi, Eric M.; Leeman, Kyle; Letendre, Leo J.; Ping, Li-Jen; Sieser, Janice E.; Singer, Robert A.; Sluggett, Gregory W.; Strohmeyer, Holly; Vanderplas, Brian C.; Blunt, Jon; Mawby, Nicola; Meldrum, Kevin; Taylor, Stuart; Organic Process Research and Development; vol. 18; 1; (2014); p. 36 - 44;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=63401773&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,87.5 percent87.5None,[Li+].C[Si](C)(C)[N-][Si](C)(C)C,,CCC1=CC(CC[C@](CC(=O)N2CCCC2)(OC(C)=O)C2CCCC2)=CC(CC)=N1.[Li+].C[Si](C)(C)[N-][Si](C)(C)C>>CCC1=CC(CC[C@@]2(CC(O)=CC(=O)O2)C2CCCC2)=CC(CC)=N1,CCC1=CC(CC[C@](CC(=O)N2CCCC2)(OC(C)=O)C2CCCC2)=CC(CC)=N1,CCC1=CC(CC[C@@]2(CC(O)=CC(=O)O2)C2CCCC2)=CC(CC)=N1,CCC1=CC(CC[C@](CC(=O)N2CCCC2)(OC(C)=O)C2CCCC2)=CC(CC)=N1.[Li+].C[Si](C)(C)[N-][Si](C)(C)C
33141394;,33141394.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=37852237&database=RX&origin=ReaxysOutput&ln=,(640 of 5000),1,78,full reaction; has preparation,"(R)-methyl 3-acetoxy-3-cyclopentyl-5-(2,6-diethylpyridin-4-yl)pentanoate","(R)-6-cyclopentyl-6-(2-(2,6-diethylpyridin-4-yl)ethyl)-dihydro-2H-pyran-2,4(3H)-dione",165154,CCC1=CC(CC[C@](CC(=O)OC)(OC(C)=O)C2CCCC2)=CC(CC)=N1>>CCC1=CC(CC[C@@]2(CC(O)=CC(=O)O2)C2CCCC2)=CC(CC)=N1,Preparation,None,None,None,1,None,None,None,None,2.5,-15 - 5,None,None,None,Dieckmann Condensation,None,None,None,Experimental part,None,None,"(R)-6-cyclopentyl-6-(2-(2,6-diethylpyridin-4-yl)ethyl)-dihydro-2H-pyran-2,4(3H)-dione",87.5 percent,87.5,None,None,lithium hexamethyldisilazane,None,tetrahydrofuran; toluene,"Article; Peng, Zhihui; Ragan, John A.; Colon-Cruz, Roberto; Conway, Brian G.; Cordi, Eric M.; Leeman, Kyle; Letendre, Leo J.; Ping, Li-Jen; Sieser, Janice E.; Singer, Robert A.; Sluggett, Gregory W.; Strohmeyer, Holly; Vanderplas, Brian C.; Blunt, Jon; Mawby, Nicola; Meldrum, Kevin; Taylor, Stuart; Organic Process Research and Development; vol. 18; 1; (2014); p. 36 - 44;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=63401773&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,87.5 percent87.5None,[Li+].C[Si](C)(C)[N-][Si](C)(C)C,,CCC1=CC(CC[C@](CC(=O)OC)(OC(C)=O)C2CCCC2)=CC(CC)=N1.[Li+].C[Si](C)(C)[N-][Si](C)(C)C>>CCC1=CC(CC[C@@]2(CC(O)=CC(=O)O2)C2CCCC2)=CC(CC)=N1,CCC1=CC(CC[C@](CC(=O)OC)(OC(C)=O)C2CCCC2)=CC(CC)=N1,CCC1=CC(CC[C@@]2(CC(O)=CC(=O)O2)C2CCCC2)=CC(CC)=N1,CCC1=CC(CC[C@](CC(=O)OC)(OC(C)=O)C2CCCC2)=CC(CC)=N1.[Li+].C[Si](C)(C)[N-][Si](C)(C)C
37330138;,37330138.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=35176622&database=RX&origin=ReaxysOutput&ln=,(539 of 2710),1,75,full reaction; has preparation,"1,3-diethyl-2-bromobenzene; acrylic acid methyl ester","(E)-3-(2,6-diethylphenyl)acrylic acid methyl ester",295996,CCC1=CC=CC(CC)=C1Br.COC(=O)C=C>>CCC1=CC=CC(CC)=C1\C=C\C(=O)OC,Preparation,None,None,None,1,None,None,None,None,24,80,None,None,Glovebox,Heck Reaction,None,None,None,Experimental part,None,None,"(E)-3-(2,6-diethylphenyl)acrylic acid methyl ester",72 percent,72,None,None,"dichloro[1,1'-bis(di-t-butylphosphino)ferrocene]palladium(II); N-Methyldicyclohexylamine; 4,4'-di-tert-butylbiphenyl; tetrabutyl-ammonium chloride",None,"N,N-dimethyl acetamide","Article; Murray, Paul M.; Bower, John F; Cox, David K; Galbraith, Ewan K; Parker, Jeremy S; Sweeney, Joseph B.; Organic Process Research and Development; vol. 17; 3; (2013); p. 397 - 405;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=35475896&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,72 percent72None,CN(C1CCCCC1)C2CCCCC2.CC(C)(C)c1ccc(cc1)c2ccc(cc2)C(C)(C)C.[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,"dichloro[1,1'-bis(di-t-butylphosphino)ferrocene]palladium(II)",CCC1=CC=CC(CC)=C1Br.COC(=O)C=C.CN(C1CCCCC1)C2CCCCC2.CC(C)(C)c1ccc(cc1)c2ccc(cc2)C(C)(C)C.[Cl-].CCCC[N+](CCCC)(CCCC)CCCC>>CCC1=CC=CC(CC)=C1\C=C\C(=O)OC,CCC1=CC=CC(CC)=C1Br.COC(=O)C=C,CCC1=CC=CC(CC)=C1\C=C\C(=O)OC,CCC1=CC=CC(CC)=C1Br.COC(=O)C=C.CN(C1CCCCC1)C2CCCCC2.CC(C)(C)c1ccc(cc1)c2ccc(cc2)C(C)(C)C.[Cl-].CCCC[N+](CCCC)(CCCC)CCCC
32207646;,32207646.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=52437922&database=RX&origin=ReaxysOutput&ln=,(2002 of 5000),1,71,full reaction; has preparation,prenyl tributylstannane; 8-bromo-7-methoxy-2H-chromen-2-one,osthole,293805,CCCC[Sn](CCCC)(CCCC)C\C=C(/C)C.COC1=C(Br)C2=C(C=CC(=O)O2)C=C1>>COC1=C(C\C=C(/C)C)C2=C(C=CC(=O)O2)C=C1,Preparation,None,None,None,1,None,None,None,None,5,125,None,None,Schlenk technique; Inert atmosphere,Stille Cross Coupling,None,None,None,Experimental part,supporting information,None,osthole,32 percent,32,None,None,"(1,1'-bis(diphenylphosphino)ferrocene)palladium(II) dichloride",None,"N,N-dimethyl-formamide","Article; Gulias, Moises; Marcos-Atanes, Daniel; Mascarenas, Jose L.; Font, Marc; Organic Process Research and Development; vol. 23; 8; (2019); p. 1669 - 1673;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=77632230&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,32 percent32None,[CH-]1C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3.[CH-]1C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],,CCCC[Sn](CCCC)(CCCC)C\C=C(/C)C.COC1=C(Br)C2=C(C=CC(=O)O2)C=C1.[CH-]1C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3.[CH-]1C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2]>>COC1=C(C\C=C(/C)C)C2=C(C=CC(=O)O2)C=C1,CCCC[Sn](CCCC)(CCCC)C\C=C(/C)C.COC1=C(Br)C2=C(C=CC(=O)O2)C=C1,COC1=C(C\C=C(/C)C)C2=C(C=CC(=O)O2)C=C1,CCCC[Sn](CCCC)(CCCC)C\C=C(/C)C.COC1=C(Br)C2=C(C=CC(=O)O2)C=C1.[CH-]1C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3.[CH-]1C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2]
33456223;,33456223.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=33218906&database=RX&origin=ReaxysOutput&ln=,(1100 of 5000),1,75,full reaction; has preparation,butyraldehyde; methyl (triphenylphosphoranylidene)acetate,C7H11BrO2,17144,CCCC=O.COC(=O)C=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1>>CCC\C=C(/Br)C(=O)OC,Preparation,None,None,None,1,None,None,2.0,None,16,-20 - 20,None,None,Inert atmosphere; Inert atmosphere,Wittig reaction,None,None,None,None,experimental part,None,C7H11BrO2,68 percent,68,None,methyl (triphenylphosphoranylidene)acetate; butyraldehyde,N-Bromosuccinimide; potassium carbonate,None,dichloromethane; dichloromethane,"Article; Brenna, Elisabetta; Gatti, Francesco G.; Manfredi, Alessia; Monti, Daniela; Parmeggiani, Fabio; Organic Process Research and Development; vol. 16; 2; (2012); p. 262 - 268;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=20140620&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,68 percent68None,BrN1C(=O)CCC1=O.[K+].[K+].[O-]C([O-])=O,,CCCC=O.COC(=O)C=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.BrN1C(=O)CCC1=O.[K+].[K+].[O-]C([O-])=O>>CCC\C=C(/Br)C(=O)OC,CCCC=O.COC(=O)C=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,CCC\C=C(/Br)C(=O)OC,CCCC=O.COC(=O)C=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.BrN1C(=O)CCC1=O.[K+].[K+].[O-]C([O-])=O
48512674;,48512674.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=37105335&database=RX&origin=ReaxysOutput&ln=,(521 of 2710),1,76,full reaction; has preparation,"2-propyl-4,7-dihydro-2H-1,3-dioxepine; 4-methyl-5-butoxy1,3-oxazole",pyridoxal hydrochloride,251901,CCCC1OCC=CCO1.CCCCOC1=C(C)N=CO1>>Cl[H].CC1=NC=C(CO)C(CO)=C1O,Preparation,None,None,None,1,None,None,3.0,None,12; 12; 1,150; 20 - 60,None,8,Reflux,Diels-Alder Cycloaddition,None,Reagent/catalyst,None,Experimental part,None,None,pyridoxal hydrochloride,80.0 percent,80,None,"2-propyl-4,7-dihydro-2H-1,3-dioxepine; 4-methyl-5-butoxy1,3-oxazole",calcium oxide; hydrogenchloride; hydrogenchloride,None,ethanol; water; water,"Article; Zou, Ye; Shi, Xiangjun; Zhang, Genbao; Li, Zhenhua; Jin, Can; Su, Weike; Organic Process Research and Development; vol. 17; 12; (2013); p. 1498 - 1502;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=62319536&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,80.0 percent80None,O=[Ca].Cl.Cl,,CCCC1OCC=CCO1.CCCCOC1=C(C)N=CO1.O=[Ca].Cl.Cl>>Cl[H].CC1=NC=C(CO)C(CO)=C1O,CCCC1OCC=CCO1.CCCCOC1=C(C)N=CO1,Cl[H].CC1=NC=C(CO)C(CO)=C1O,CCCC1OCC=CCO1.CCCCOC1=C(C)N=CO1.O=[Ca].Cl.Cl
28961516;,28961516.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=33218881&database=RX&origin=ReaxysOutput&ln=,(1163 of 5000),1,74,full reaction; has preparation,pentanal; methyl (triphenylphosphoranylidene)acetate,(Z)-2-Bromo-hept-2-enoic acid methyl ester,17144,CCCCC=O.COC(=O)C=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1>>CCCC\C=C(/Br)C(=O)OC,Preparation,None,None,None,1,None,None,2.0,None,16,-20 - 20,None,None,Inert atmosphere; Inert atmosphere,Wittig reaction,None,None,None,None,experimental part,None,(Z)-2-Bromo-hept-2-enoic acid methyl ester,61 percent,61,None,methyl (triphenylphosphoranylidene)acetate; pentanal,N-Bromosuccinimide; potassium carbonate,None,dichloromethane; dichloromethane,"Article; Brenna, Elisabetta; Gatti, Francesco G.; Manfredi, Alessia; Monti, Daniela; Parmeggiani, Fabio; Organic Process Research and Development; vol. 16; 2; (2012); p. 262 - 268;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=20140620&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,61 percent61None,BrN1C(=O)CCC1=O.[K+].[K+].[O-]C([O-])=O,,CCCCC=O.COC(=O)C=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.BrN1C(=O)CCC1=O.[K+].[K+].[O-]C([O-])=O>>CCCC\C=C(/Br)C(=O)OC,CCCCC=O.COC(=O)C=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,CCCC\C=C(/Br)C(=O)OC,CCCCC=O.COC(=O)C=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.BrN1C(=O)CCC1=O.[K+].[K+].[O-]C([O-])=O
